own,type,num,tel,city,district
사회복지법인대한구조봉사회,특수구급차,78구1500,02-3431-9111,서울,강남구
사회복지법인대한구조봉사회,일반구급차,76고5391,02-3431-9111,서울,강남구
사회복지법인대한구조봉사회,특수구급차,72보1405,02-3431-9111,서울,강남구
사회복지법인대한구조봉사회,일반구급차,76너3457,02-3431-9111,서울,강남구
사회복지법인대한구조봉사회,특수구급차,77두7278,02-3431-9111,서울,강남구
사회복지법인대한구조봉사회,특수구급차,70머3783,02-3431-9111,서울,강남구
사회복지법인대한구조봉사회,일반구급차,76도4694,02-3431-9111,서울,강남구
사회복지법인대한구조봉사회,일반구급차,72어2319,02-3431-9111,서울,강남구
사회복지법인대한구조봉사회,특수구급차,76소4540,02-3431-9111,서울,강남구
사회복지법인대한구조봉사회,특수구급차,78두2228,02-3431-9111,서울,강남구
사회복지법인대한구조봉사회,특수구급차,75더4260,02-3431-9111,서울,강남구
(주)에스오에스,특수구급차,75누5968,1566-0129,서울,강동구
(주)에스오에스,일반구급차,73수5020,1566-0129,서울,강동구
(주)에스오에스,특수구급차,71더7014,1566-0129,서울,강동구
(주)에스오에스,특수구급차,71누9477,1566-0129,서울,강동구
(주)에스오에스,특수구급차,71누9372,1566-0129,서울,강동구
(주)에스오에스,특수구급차,71더7420,1566-0129,서울,강동구
(주)에스오에스,특수구급차,71다4646,1566-0129,서울,강동구
(주)한성응급환자이송단,특수구급차,76더8438,02-442-0129,서울,강동구
(주)한성응급환자이송단,일반구급차,79소7231,02-442-0129,서울,강동구
(주)한성응급환자이송단,일반구급차,71보8012,02-442-0129,서울,강동구
(주)한성응급환자이송단,특수구급차,98나4018,02-442-0129,서울,강동구
(주)한성응급환자이송단,특수구급차,71부4919,02-442-0129,서울,강동구
(주)한성응급환자이송단,특수구급차,70로8955,02-442-0129,서울,강동구
(주)한성응급환자이송단,일반구급차,79버0829,02-442-0129,서울,강동구
(주)한성응급환자이송단,특수구급차,74거8730,02-442-0129,서울,강동구
(주)한성응급환자이송단,일반구급차,78구3606,02-442-0129,서울,강동구
(주)한성응급환자이송단,특수구급차,74거8907,02-442-0129,서울,강동구
(주)한성응급환자이송단,특수구급차,75루9301,02-442-0129,서울,강동구
(주)한성응급환자이송단,특수구급차,78구3926,02-442-0129,서울,강동구
㈜제일응급환자이송단,일반구급차,72주9718,02-426-1339,서울,강동구
㈜제일응급환자이송단,특수구급차,76마3470,02-426-1339,서울,강동구
㈜제일응급환자이송단,특수구급차,75보4734,02-426-1339,서울,강동구
㈜제일응급환자이송단,일반구급차,76누8550,02-426-1339,서울,강동구
㈜제일응급환자이송단,특수구급차,77고8946,02-426-1339,서울,강동구
㈜제일응급환자이송단,일반구급차,71러7414,02-426-1339,서울,강동구
㈜제일응급환자이송단,일반구급차,76노0652,02-426-1339,서울,강동구
㈜제일응급환자이송단,일반구급차,79마2313,02-426-1339,서울,강동구
㈜제일응급환자이송단,일반구급차,78소2357,02-426-1339,서울,강동구
㈜제일응급환자이송단,특수구급차,79두9352,02-426-1339,서울,강동구
㈜제일응급환자이송단,일반구급차,78구3587,02-426-1339,서울,강동구
